               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.020493,           0.0099735,                   0,              0.9761,             0.98007,             0.98953,             0.71482,            0.021406,           0.0064485,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.019679,           0.0097779,                   0,             0.97479,             0.98054,             0.98951,              0.7064,            0.022215,           0.0065441,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.019681,           0.0096097,                   0,              0.9782,             0.97542,             0.98623,             0.69367,            0.022896,           0.0066385,                   0,            0.007426,            0.007426,            0.007426
                  41,              0.0194,           0.0096349,                   0,             0.97902,              0.9837,             0.98926,             0.72772,            0.020567,           0.0062617,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.018991,           0.0095117,                   0,             0.98049,             0.97464,             0.99009,             0.70414,            0.022009,           0.0065196,                   0,            0.007294,            0.007294,            0.007294
                  43,             0.01961,           0.0094814,                   0,             0.96768,             0.97645,             0.98485,             0.68067,            0.023491,           0.0067032,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.019338,           0.0095556,                   0,             0.98001,             0.97691,             0.98888,             0.70569,            0.021979,           0.0064686,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.019389,           0.0094683,                   0,             0.98114,             0.97283,             0.98746,             0.71298,            0.021337,           0.0064587,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.018975,           0.0093412,                   0,             0.97131,             0.98128,             0.98744,             0.73098,            0.020276,           0.0063149,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.019088,            0.009289,                   0,             0.97153,             0.98188,             0.99088,             0.73206,            0.020666,            0.006408,                   0,            0.006964,            0.006964,            0.006964
                  48,              0.0187,           0.0093716,                   0,             0.97482,             0.98192,             0.99046,             0.70887,            0.021883,           0.0064385,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.019029,           0.0092808,                   0,             0.96963,             0.98323,             0.99172,             0.72163,            0.020477,           0.0062303,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.018793,            0.009288,                   0,              0.9835,             0.97169,             0.99089,             0.72112,            0.020823,           0.0064683,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.018879,           0.0094317,                   0,             0.97495,             0.98714,             0.99083,             0.72933,            0.020136,           0.0061464,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.018354,           0.0089724,                   0,             0.97995,             0.98007,             0.98451,             0.73529,            0.020067,           0.0064883,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.018524,           0.0093392,                   0,             0.97802,              0.9837,             0.98796,             0.72286,            0.020704,           0.0063808,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.018258,           0.0094061,                   0,             0.97948,             0.98188,             0.98806,             0.71241,            0.021146,           0.0064239,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.018109,           0.0090471,                   0,              0.9795,             0.98007,             0.98952,             0.72462,            0.020471,           0.0063254,                   0,            0.006436,            0.006436,            0.006436
                  56,             0.01789,           0.0089218,                   0,             0.98297,             0.98188,             0.99078,             0.72562,            0.020379,           0.0063974,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.017789,           0.0086405,                   0,             0.98289,              0.9837,             0.99197,             0.71554,             0.02113,           0.0065601,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.018028,           0.0090614,                   0,             0.97946,              0.9837,             0.99136,             0.72375,            0.020649,           0.0063713,                   0,            0.006238,            0.006238,            0.006238
                  59,             0.01772,           0.0087169,                   0,             0.97718,              0.9837,             0.98993,             0.72434,            0.020799,           0.0063553,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.017801,           0.0088031,                   0,             0.97763,              0.9837,             0.99084,              0.7312,            0.020379,           0.0063806,                   0,            0.006106,            0.006106,            0.006106
